carClassNbr,rn,gender,cnt,percent
4731,3,여자,171,19.9
4731,2,법인및사업자,264,30.7
4732,1,남자,17,58.6
4732,2,여자,7,24.1
4732,3,법인및사업자,5,17.2
4734,1,남자,66,62.9
4734,3,여자,10,9.5
4734,2,법인및사업자,29,27.6
4735,1,남자,2,66.7
4735,2,여자,1,33.3
4736,1,남자,5,71.4
4736,3,여자,1,14.3
4736,2,법인및사업자,1,14.3
4738,1,남자,304,50.4
4738,3,여자,75,12.4
4738,2,법인및사업자,224,37.1
4739,2,남자,6,30
4739,3,여자,6,30
4739,1,법인및사업자,8,40
4740,1,남자,52,49.5
4740,3,여자,13,12.4
4740,2,법인및사업자,40,38.1
4742,1,남자,30,40
4742,3,여자,19,25.3
4742,2,법인및사업자,26,34.7
4744,1,남자,17,60.7
4744,3,여자,5,17.9
4744,2,법인및사업자,6,21.4
4745,1,남자,5,62.5
4745,2,여자,2,25
4745,3,법인및사업자,1,12.5
4755,1,남자,36,52.2
4755,3,여자,13,18.8
4755,2,법인및사업자,20,29
4759,1,남자,1,50
4759,2,법인및사업자,1,50
4763,1,남자,3,75
4763,2,법인및사업자,1,25
4765,1,남자,9,50
4765,3,여자,2,11.1
4765,2,법인및사업자,7,38.9
4767,1,남자,11,64.7
4767,3,여자,3,17.6
4767,2,법인및사업자,3,17.6
4768,1,남자,3,75
4768,2,법인및사업자,1,25
4769,1,남자,1222,59.6
4769,3,여자,256,12.5
4769,2,법인및사업자,573,27.9
4770,2,남자,5,41.7
4770,3,여자,1,8.3
4770,1,법인및사업자,6,50
4771,1,남자,1,33.3
4771,3,여자,1,33.3
4771,2,법인및사업자,1,33.3
4773,1,법인및사업자,1,100
4774,1,남자,282,52.4
4774,3,여자,83,15.4
4774,2,법인및사업자,173,32.2
4775,1,남자,41,46.1
4775,3,여자,11,12.4
4775,2,법인및사업자,37,41.6
4778,2,남자,70,37.4
4778,3,여자,16,8.6
4778,1,법인및사업자,101,54
4780,1,남자,7,53.8
4780,3,여자,3,23.1
4780,2,법인및사업자,3,23.1
4781,1,남자,829,57.1
4781,3,여자,231,15.9
4781,2,법인및사업자,392,27
4783,1,남자,188,53.6
4783,3,여자,70,19.9
4783,2,법인및사업자,93,26.5
4785,2,남자,25,44.6
4785,3,여자,4,7.1
4785,1,법인및사업자,27,48.2
4786,1,남자,14,63.6
4786,3,여자,3,13.6
4786,2,법인및사업자,5,22.7
4794,1,남자,271,55.4
4794,3,여자,104,21.3
4794,2,법인및사업자,114,23.3
4795,1,남자,16,55.2
4795,3,여자,5,17.2
4795,2,법인및사업자,8,27.6
4796,1,남자,136,63.8
4796,3,여자,23,10.8
4796,2,법인및사업자,54,25.4
4797,1,남자,174,45.8
4797,3,여자,36,9.5
4797,2,법인및사업자,170,44.7
4798,1,남자,69,56.1
4798,3,여자,13,10.6
4798,2,법인및사업자,41,33.3
4799,1,남자,44,62
4799,3,여자,11,15.5
4799,2,법인및사업자,16,22.5
4800,1,남자,17,63
4800,3,여자,2,7.4
4800,2,법인및사업자,8,29.6
4801,1,남자,366,52.4
4801,3,여자,100,14.3
4801,2,법인및사업자,232,33.2
4802,1,남자,52,52.5
4802,3,여자,14,14.1
4802,2,법인및사업자,33,33.3
4806,2,남자,1,33.3
4806,1,여자,2,66.7
4808,2,남자,9,42.9
4808,3,여자,1,4.8
4808,1,법인및사업자,11,52.4
4810,1,남자,41,59.4
4810,3,여자,8,11.6
4810,2,법인및사업자,20,29
4811,2,남자,1,25
4811,3,여자,1,25
4811,1,법인및사업자,2,50
4812,1,남자,1061,60.8
4812,3,여자,226,12.9
4812,2,법인및사업자,459,26.3
4813,1,남자,61,49.2
4813,2,여자,32,25.8
4813,3,법인및사업자,31,25
4814,1,남자,30,58.8
4814,3,여자,7,13.7
4814,2,법인및사업자,14,27.5
4815,1,남자,111,60.3
4815,3,여자,26,14.1
4815,2,법인및사업자,47,25.5
4819,1,남자,14,58.3
4819,3,여자,2,8.3
4819,2,법인및사업자,8,33.3
4820,1,남자,30,50
4820,2,여자,21,35
4820,3,법인및사업자,9,15
4821,1,남자,1,33.3
4821,3,여자,1,33.3
4821,2,법인및사업자,1,33.3
4823,1,남자,575,65
4823,3,여자,100,11.3
4823,2,법인및사업자,209,23.6
4824,1,남자,415,51.4
4824,3,여자,132,16.4
4824,2,법인및사업자,260,32.2
4825,1,남자,395,51.3
4825,3,여자,164,21.3
4825,2,법인및사업자,211,27.4
4827,1,남자,161,53.8
4827,3,여자,38,12.7
4827,2,법인및사업자,100,33.4
4828,1,남자,254,56.4
4828,3,여자,59,13.1
4828,2,법인및사업자,137,30.4
4829,1,남자,46,59
4829,3,여자,8,10.3
4829,2,법인및사업자,24,30.8
4830,1,남자,32,61.5
4830,3,여자,3,5.8
4830,2,법인및사업자,17,32.7
4831,1,남자,9,64.3
4831,3,여자,1,7.1
4831,2,법인및사업자,4,28.6
4832,1,남자,1,100
4834,1,남자,105,47.3
4834,3,여자,47,21.2
4834,2,법인및사업자,70,31.5
4838,1,남자,114,55.6
4838,3,여자,28,13.7
4838,2,법인및사업자,63,30.7
4839,1,남자,1,33.3
4839,3,여자,1,33.3
4839,2,법인및사업자,1,33.3
4840,1,남자,2,100
4841,1,남자,88,55
4841,3,여자,17,10.6
4841,2,법인및사업자,55,34.4
4844,1,여자,1,100
4850,1,남자,3,60
4850,3,여자,1,20
4850,2,법인및사업자,1,20
4856,1,남자,2,66.7
4856,2,여자,1,33.3
4858,1,남자,1,100
4860,1,법인및사업자,2,100
4861,1,남자,263,57
4861,3,여자,59,12.8
4861,2,법인및사업자,139,30.2
4862,2,남자,14,34.1
4862,3,여자,5,12.2
4862,1,법인및사업자,22,53.7
4863,1,남자,12,50
4863,3,여자,2,8.3
4863,2,법인및사업자,10,41.7
4864,1,남자,6,60
4864,2,법인및사업자,4,40
4865,1,남자,7,50
4865,3,여자,2,14.3
4865,2,법인및사업자,5,35.7
4866,2,남자,1,25
4866,1,법인및사업자,3,75
4867,1,남자,688,53.8
4867,3,여자,166,13
4867,2,법인및사업자,424,33.2
4868,2,남자,41,39
4868,3,여자,5,4.8
4868,1,법인및사업자,59,56.2
4869,1,남자,37,51.4
4869,3,여자,9,12.5
4869,2,법인및사업자,26,36.1
4870,1,남자,7,50
4870,3,여자,2,14.3
4870,2,법인및사업자,5,35.7
4871,1,남자,27,47.4
4871,3,여자,8,14
4871,2,법인및사업자,22,38.6
4872,1,남자,3,60
4872,2,법인및사업자,2,40
4873,2,남자,7,38.9
4873,3,여자,1,5.6
4873,1,법인및사업자,10,55.6
4875,1,남자,351,55.3
4875,3,여자,86,13.5
4875,2,법인및사업자,198,31.2
4876,1,남자,255,60.4
4876,3,여자,61,14.5
4876,2,법인및사업자,106,25.1
4877,1,남자,15,65.2
4877,2,법인및사업자,8,34.8
4878,1,남자,6,54.5
4878,2,여자,3,27.3
4878,3,법인및사업자,2,18.2
4880,1,남자,5,62.5
4880,2,법인및사업자,3,37.5
4881,1,남자,46,49.5
4881,3,여자,13,14
4881,2,법인및사업자,34,36.6
4882,1,남자,3,50
4882,2,여자,2,33.3
4882,3,법인및사업자,1,16.7
4883,1,남자,283,48.5
4883,3,여자,121,20.8
4883,2,법인및사업자,179,30.7
4884,1,남자,6,60
4884,3,여자,2,20
4884,2,법인및사업자,2,20
4885,2,남자,10,34.5
4885,3,여자,2,6.9
4885,1,법인및사업자,17,58.6
4886,2,남자,20,40
4886,3,여자,7,14
4886,1,법인및사업자,23,46
4889,2,남자,5,38.5
4889,3,여자,2,15.4
4889,1,법인및사업자,6,46.2
4891,1,남자,226,48.8
4891,3,여자,60,13
4891,2,법인및사업자,177,38.2
4892,1,남자,53,55.8
4892,3,여자,19,20
4892,2,법인및사업자,23,24.2
4894,1,남자,26,60.5
4894,2,법인및사업자,17,39.5
4900,1,남자,217,61.1
4900,3,여자,35,9.9
4900,2,법인및사업자,103,29
4902,2,남자,5,15.6
4902,3,여자,3,9.4
4902,1,법인및사업자,24,75
4903,1,남자,5,50
4903,3,여자,1,10
4903,2,법인및사업자,4,40
4905,1,남자,1,100
4906,1,남자,50,49.5
4906,3,여자,12,11.9
4906,2,법인및사업자,39,38.6
4907,1,남자,425,52.5
4907,3,여자,104,12.8
4907,2,법인및사업자,281,34.7
4910,1,남자,41,50.6
4910,3,여자,6,7.4
4910,2,법인및사업자,34,42
4911,1,남자,1,50
4911,2,여자,1,50
4912,1,남자,7,63.6
4912,2,법인및사업자,4,36.4
4913,1,남자,12,70.6
4913,3,여자,1,5.9
4913,2,법인및사업자,4,23.5
4914,1,남자,579,50
4914,3,여자,253,21.8
4914,2,법인및사업자,327,28.2
4915,1,남자,169,63.1
4915,3,여자,36,13.4
4915,2,법인및사업자,63,23.5
4916,1,남자,16,38.1
4916,3,여자,11,26.2
4916,2,법인및사업자,15,35.7
4917,1,남자,6,42.9
4917,3,여자,3,21.4
4917,2,법인및사업자,5,35.7
4918,1,남자,1,100
4921,1,남자,1,50
4921,2,법인및사업자,1,50
4922,2,남자,54,37
4922,3,여자,20,13.7
4922,1,법인및사업자,72,49.3
4923,1,남자,44,51.2
4923,3,여자,17,19.8
4923,2,법인및사업자,25,29.1
4925,1,남자,21,63.6
4925,3,여자,4,12.1
4925,2,법인및사업자,8,24.2
4930,1,남자,209,53.3
4930,3,여자,46,11.7
4930,2,법인및사업자,137,34.9
4931,2,남자,35,38.9
4931,3,여자,7,7.8
4931,1,법인및사업자,48,53.3
4932,1,남자,51,45.5
4932,3,여자,15,13.4
4932,2,법인및사업자,46,41.1
4933,1,남자,446,50.7
4933,3,여자,194,22
4933,2,법인및사업자,240,27.3
4935,1,남자,168,56.2
4935,3,여자,45,15.1
4935,2,법인및사업자,86,28.8
4936,1,남자,4,66.7
4936,2,법인및사업자,2,33.3
4937,1,남자,637,44.4
4937,3,여자,385,26.8
4937,2,법인및사업자,413,28.8
4938,1,남자,177,54.1
4938,3,여자,39,11.9
4938,2,법인및사업자,111,33.9
4939,1,남자,17,36.2
4939,3,여자,13,27.7
4939,2,법인및사업자,17,36.2
4942,1,남자,104,65
4942,3,여자,14,8.8
4942,2,법인및사업자,42,26.3
4945,1,남자,113,50
4945,3,여자,49,21.7
4945,2,법인및사업자,64,28.3
4946,1,남자,1,100
4948,1,남자,474,48.6
4948,3,여자,217,22.3
4948,2,법인및사업자,284,29.1
4949,1,남자,9,60
4949,2,법인및사업자,6,40
4951,1,남자,4,66.7
4951,2,법인및사업자,2,33.3
4952,1,남자,94,63.5
4952,3,여자,14,9.5
4952,2,법인및사업자,40,27
4953,1,남자,80,60.6
4953,3,여자,14,10.6
4953,2,법인및사업자,38,28.8
4954,1,남자,357,60
4954,3,여자,80,13.4
4954,2,법인및사업자,158,26.6
4955,1,남자,317,58.8
4955,3,여자,94,17.4
4955,2,법인및사업자,128,23.7
4956,1,남자,129,64.8
4956,3,여자,19,9.5
4956,2,법인및사업자,51,25.6
4957,1,남자,377,55.6
4957,3,여자,122,18
4957,2,법인및사업자,179,26.4
4958,2,남자,2,33.3
4958,1,법인및사업자,4,66.7
4959,1,남자,6,46.2
4959,3,여자,2,15.4
4959,2,법인및사업자,5,38.5
4961,1,남자,2043,50.8
4961,3,여자,851,21.2
4961,2,법인및사업자,1128,28
4962,1,남자,1198,49.2
4962,3,여자,529,21.7
4962,2,법인및사업자,706,29
4963,1,남자,17,51.5
4963,2,여자,9,27.3
4963,3,법인및사업자,7,21.2
4965,2,남자,2,28.6
4965,3,여자,1,14.3
4965,1,법인및사업자,4,57.1
4969,1,남자,38,54.3
4969,3,여자,8,11.4
4969,2,법인및사업자,24,34.3
4970,1,남자,32,61.5
4970,3,여자,6,11.5
4970,2,법인및사업자,14,26.9
4972,1,남자,1,50
4972,2,법인및사업자,1,50
4973,1,남자,23,48.9
4973,3,여자,7,14.9
4973,2,법인및사업자,17,36.2
4974,1,남자,58,50.9
4974,3,여자,18,15.8
4974,2,법인및사업자,38,33.3
4975,1,남자,3,75
4975,2,법인및사업자,1,25
4976,1,남자,5,71.4
4976,3,여자,1,14.3
4976,2,법인및사업자,1,14.3
4977,1,남자,29,49.2
4977,3,여자,7,11.9
4977,2,법인및사업자,23,39
4978,1,남자,38,71.7
4978,3,여자,5,9.4
4978,2,법인및사업자,10,18.9
4979,2,남자,7,31.8
4979,3,여자,7,31.8
4979,1,법인및사업자,8,36.4
4980,1,법인및사업자,2,100
4983,1,남자,1,100
4985,1,남자,2,66.7
4985,2,여자,1,33.3
4987,2,남자,10,37
4987,3,여자,1,3.7
4987,1,법인및사업자,16,59.3
4988,1,남자,5,50
4988,3,여자,1,10
4988,2,법인및사업자,4,40
4990,1,남자,3,75
4990,2,여자,1,25
4992,1,남자,12,70.6
4992,2,법인및사업자,5,29.4
4993,2,남자,46,40
4993,3,여자,22,19.1
4993,1,법인및사업자,47,40.9
4994,1,남자,503,47.9
4994,3,여자,143,13.6
4994,2,법인및사업자,404,38.5
4996,1,남자,3,75
4996,2,여자,1,25
4998,1,남자,36,43.4
4998,3,여자,16,19.3
4998,2,법인및사업자,31,37.3
4999,1,남자,85,60.3
4999,3,여자,20,14.2
4999,2,법인및사업자,36,25.5
5000,2,남자,11,39.3
5000,3,여자,4,14.3
5000,1,법인및사업자,13,46.4
5013,1,남자,878,62
5013,3,여자,184,13
5013,2,법인및사업자,353,24.9
5014,1,남자,36,46.2
5014,3,여자,6,7.7
5014,2,법인및사업자,36,46.2
5016,1,남자,5,71.4
5016,2,법인및사업자,2,28.6
5019,1,남자,78,48.1
5019,3,여자,14,8.6
5019,2,법인및사업자,70,43.2
5022,1,남자,13,59.1
5022,3,여자,1,4.5
5022,2,법인및사업자,8,36.4
5024,1,남자,38,65.5
5024,3,여자,10,17.2
5024,2,법인및사업자,10,17.2
5027,1,남자,1358,58.4
5027,3,여자,319,13.7
5027,2,법인및사업자,647,27.8
5028,1,남자,4,80
5028,2,법인및사업자,1,20
5030,1,남자,249,50.4
5030,3,여자,108,21.9
5030,2,법인및사업자,137,27.7
5031,1,남자,2,66.7
5031,2,여자,1,33.3
5032,1,남자,6,60
5032,2,여자,3,30
5032,3,법인및사업자,1,10
5033,1,남자,946,47.7
5033,3,여자,383,19.3
5033,2,법인및사업자,655,33
5037,1,남자,647,53.6
5037,3,여자,169,14
5037,2,법인및사업자,390,32.3
5038,1,남자,16,64
5038,3,여자,3,12
5038,2,법인및사업자,6,24
5039,1,남자,798,54.6
5039,3,여자,169,11.6
5039,2,법인및사업자,494,33.8
5040,1,남자,33,50.8
5040,3,여자,4,6.2
5040,2,법인및사업자,28,43.1
5043,1,남자,102,45.3
5043,3,여자,31,13.8
5043,2,법인및사업자,92,40.9
5045,1,남자,111,61.3
5045,3,여자,23,12.7
5045,2,법인및사업자,47,26
5046,1,남자,18,62.1
5046,3,여자,4,13.8
5046,2,법인및사업자,7,24.1
5049,2,남자,5,45.5
5049,1,법인및사업자,6,54.5
5050,1,남자,2,50
5050,3,여자,1,25
5050,2,법인및사업자,1,25
5051,2,남자,10,35.7
5051,3,여자,6,21.4
5051,1,법인및사업자,12,42.9
5053,1,남자,168,53.3
5053,3,여자,37,11.7
5053,2,법인및사업자,110,34.9
5054,2,남자,147,41.2
5054,3,여자,43,12
5054,1,법인및사업자,167,46.8
5055,1,남자,3,75
5055,2,법인및사업자,1,25
5056,1,남자,251,51.8
5056,3,여자,54,11.1
5056,2,법인및사업자,180,37.1
5057,1,남자,49,58.3
5057,3,여자,10,11.9
5057,2,법인및사업자,25,29.8
5059,2,남자,3,37.5
5059,1,법인및사업자,5,62.5
5060,1,남자,42,51.9
5060,3,여자,14,17.3
5060,2,법인및사업자,25,30.9
5061,1,남자,19,54.3
5061,3,여자,5,14.3
5061,2,법인및사업자,11,31.4
5062,1,남자,5,41.7
5062,2,여자,4,33.3
5062,3,법인및사업자,3,25
5063,1,남자,41,61.2
5063,3,여자,9,13.4
5063,2,법인및사업자,17,25.4
5064,1,남자,45,43.7
5064,3,여자,15,14.6
5064,2,법인및사업자,43,41.7
5067,1,남자,8,50
5067,3,여자,3,18.8
5067,2,법인및사업자,5,31.3
5068,1,남자,159,55.6
5068,3,여자,46,16.1
5068,2,법인및사업자,81,28.3
5069,1,남자,20,51.3
5069,3,여자,4,10.3
5069,2,법인및사업자,15,38.5
5070,1,남자,33,64.7
5070,3,여자,2,3.9
5070,2,법인및사업자,16,31.4
5072,2,남자,11,27.5
5072,3,여자,11,27.5
5072,1,법인및사업자,18,45
5073,1,남자,38,54.3
5073,3,여자,15,21.4
5073,2,법인및사업자,17,24.3
5075,1,남자,186,56.9
5075,3,여자,48,14.7
5075,2,법인및사업자,93,28.4
5076,2,남자,8,34.8
5076,3,여자,4,17.4
5076,1,법인및사업자,11,47.8
5077,1,남자,62,58.5
5077,3,여자,10,9.4
5077,2,법인및사업자,34,32.1
5078,1,남자,676,57.7
5078,3,여자,143,12.2
5078,2,법인및사업자,353,30.1
5079,1,남자,115,59.6
5079,3,여자,21,10.9
5079,2,법인및사업자,57,29.5
5080,1,남자,1,50
5080,2,법인및사업자,1,50
5081,1,남자,211,60.3
5081,3,여자,53,15.1
5081,2,법인및사업자,86,24.6
5084,1,남자,20,52.6
5084,3,여자,1,2.6
5084,2,법인및사업자,17,44.7
5085,1,남자,16,47.1
5085,3,여자,2,5.9
5085,2,법인및사업자,16,47.1
5086,1,남자,48,47.5
5086,3,여자,11,10.9
5086,2,법인및사업자,42,41.6
5087,1,남자,40,60.6
5087,3,여자,5,7.6
5087,2,법인및사업자,21,31.8
5088,1,남자,273,52.8
5088,3,여자,108,20.9
5088,2,법인및사업자,136,26.3
5089,1,남자,7,58.3
5089,3,여자,1,8.3
5089,2,법인및사업자,4,33.3
5090,1,남자,29,55.8
5090,3,여자,5,9.6
5090,2,법인및사업자,18,34.6
5091,1,남자,8,42.1
5091,3,여자,5,26.3
5091,2,법인및사업자,6,31.6
5092,1,남자,23,45.1
5092,3,여자,7,13.7
5092,2,법인및사업자,21,41.2
5094,2,남자,39,47
5094,3,여자,3,3.6
5094,1,법인및사업자,41,49.4
5095,2,남자,1,20
5095,1,법인및사업자,4,80
5096,1,남자,36,61
5096,3,여자,8,13.6
5096,2,법인및사업자,15,25.4
5097,1,남자,5,55.6
5097,3,여자,2,22.2
5097,2,법인및사업자,2,22.2
5098,1,남자,201,50.6
5098,3,여자,42,10.6
5098,2,법인및사업자,154,38.8
5099,1,남자,857,54.7
5099,3,여자,192,12.3
5099,2,법인및사업자,518,33.1
5100,1,남자,2,100
5102,1,남자,1,50
5102,2,법인및사업자,1,50
5104,1,남자,91,50.6
5104,3,여자,20,11.1
5104,2,법인및사업자,69,38.3
5105,1,남자,33,66
5105,3,여자,3,6
5105,2,법인및사업자,14,28
5106,1,남자,8,53.3
5106,3,여자,2,13.3
5106,2,법인및사업자,5,33.3
5108,1,남자,5,71.4
5108,3,여자,1,14.3
5108,2,법인및사업자,1,14.3
5109,1,남자,272,52.6
5109,3,여자,69,13.3
5109,2,법인및사업자,176,34
5110,1,남자,225,57.7
5110,3,여자,49,12.6
5110,2,법인및사업자,116,29.7
5111,1,남자,129,69.4
5111,3,여자,12,6.5
5111,2,법인및사업자,45,24.2
5112,1,남자,88,60.3
5112,3,여자,15,10.3
5112,2,법인및사업자,43,29.5
5113,1,남자,176,58.9
5113,3,여자,23,7.7
5113,2,법인및사업자,100,33.4
5114,1,남자,757,51.6
5114,3,여자,215,14.7
5114,2,법인및사업자,494,33.7
5115,1,남자,2,50
5115,2,여자,2,50
5116,1,남자,16,48.5
5116,3,여자,1,3
5116,2,법인및사업자,16,48.5
5117,1,남자,1939,52.6
5117,3,여자,717,19.4
5117,2,법인및사업자,1031,28
5118,1,남자,23,50
5118,3,여자,9,19.6
5118,2,법인및사업자,14,30.4
5119,1,남자,2,40
5119,3,여자,1,20
5119,2,법인및사업자,2,40
5120,1,남자,1,50
5120,2,법인및사업자,1,50
5121,1,남자,64,48.5
5121,3,여자,21,15.9
5121,2,법인및사업자,47,35.6
5123,1,남자,39,58.2
5123,3,여자,9,13.4
5123,2,법인및사업자,19,28.4
5131,1,남자,136,46.3
5131,3,여자,71,24.1
5131,2,법인및사업자,87,29.6
5136,1,남자,15,71.4
5136,3,여자,2,9.5
5136,2,법인및사업자,4,19
5138,1,남자,8,72.7
5138,2,법인및사업자,3,27.3
5139,1,남자,41,62.1
5139,3,여자,7,10.6
5139,2,법인및사업자,18,27.3
5141,1,남자,71,52.2
5141,3,여자,28,20.6
5141,2,법인및사업자,37,27.2
5142,1,남자,24,49
5142,3,여자,5,10.2
5142,2,법인및사업자,20,40.8
5144,1,남자,25,50
5144,2,여자,15,30
5144,3,법인및사업자,10,20
5145,1,남자,10,71.4
5145,2,법인및사업자,4,28.6
5153,1,남자,36,55.4
5153,3,여자,10,15.4
5153,2,법인및사업자,19,29.2
5154,1,남자,16,50
5154,3,여자,6,18.8
5154,2,법인및사업자,10,31.3
5157,1,남자,5,62.5
5157,3,여자,1,12.5
5157,2,법인및사업자,2,25
5158,1,남자,8,72.7
5158,2,법인및사업자,3,27.3
5159,1,남자,2,100
5162,1,남자,24,58.5
5162,3,여자,7,17.1
5162,2,법인및사업자,10,24.4
5164,1,남자,281,44.9
5164,3,여자,148,23.6
5164,2,법인및사업자,197,31.5
5165,1,남자,7,63.6
5165,3,여자,1,9.1
5165,2,법인및사업자,3,27.3
5167,1,남자,12,46.2
5167,3,여자,3,11.5
5167,2,법인및사업자,11,42.3
5168,2,남자,24,40
5168,3,여자,9,15
5168,1,법인및사업자,27,45
5169,1,남자,4,66.7
5169,2,법인및사업자,2,33.3
5170,1,남자,274,50.8
5170,3,여자,100,18.6
5170,2,법인및사업자,165,30.6
5171,1,남자,3,37.5
5171,2,여자,3,37.5
5171,3,법인및사업자,2,25
5172,1,남자,37,59.7
5172,3,여자,8,12.9
5172,2,법인및사업자,17,27.4
5173,2,남자,11,35.5
5173,3,여자,1,3.2
5173,1,법인및사업자,19,61.3
5174,1,남자,19,51.4
5174,3,여자,9,24.3
5174,2,법인및사업자,9,24.3
5175,1,남자,15,55.6
5175,3,여자,2,7.4
5175,2,법인및사업자,10,37
5176,1,남자,1,100
5177,1,남자,757,63
5177,3,여자,169,14.1
5177,2,법인및사업자,276,23
5179,1,남자,19,86.4
5179,3,여자,1,4.5
5179,2,법인및사업자,2,9.1
5180,1,남자,5,55.6
5180,3,여자,1,11.1
5180,2,법인및사업자,3,33.3
5181,1,남자,20,51.3
5181,3,여자,8,20.5
5181,2,법인및사업자,11,28.2
5187,1,남자,152,59.8
5187,3,여자,26,10.2
5187,2,법인및사업자,76,29.9
5188,2,남자,25,33.8
5188,3,여자,17,23
5188,1,법인및사업자,32,43.2
5189,1,남자,9,60
5189,3,여자,1,6.7
5189,2,법인및사업자,5,33.3
5190,1,남자,1,100
5191,1,남자,108,49.5
5191,3,여자,22,10.1
5191,2,법인및사업자,88,40.4
5192,1,남자,8,61.5
5192,3,여자,2,15.4
5192,2,법인및사업자,3,23.1
5193,1,남자,592,50.8
5193,3,여자,176,15.1
5193,2,법인및사업자,398,34.1
5194,1,남자,955,59.6
5194,3,여자,179,11.2
5194,2,법인및사업자,469,29.3
5195,1,남자,1,50
5195,2,법인및사업자,1,50
5200,1,남자,50,66.7
5200,2,여자,14,18.7
5200,3,법인및사업자,11,14.7
5201,1,남자,1355,57.5
5201,3,여자,334,14.2
5201,2,법인및사업자,666,28.3
5202,1,남자,50,56.2
5202,3,여자,19,21.3
5202,2,법인및사업자,20,22.5
5203,1,남자,5,62.5
5203,3,여자,1,12.5
5203,2,법인및사업자,2,25
5204,2,여자,1,50
5204,1,법인및사업자,1,50
5205,1,남자,11,73.3
5205,3,여자,1,6.7
5205,2,법인및사업자,3,20
5206,1,남자,29,51.8
5206,3,여자,13,23.2
5206,2,법인및사업자,14,25
5208,1,남자,291,49
5208,3,여자,105,17.7
5208,2,법인및사업자,198,33.3
5209,1,남자,173,47
5209,3,여자,82,22.3
5209,2,법인및사업자,113,30.7
5213,1,남자,323,64.6
5213,3,여자,56,11.2
5213,2,법인및사업자,121,24.2
5214,1,남자,9,50
5214,3,여자,2,11.1
5214,2,법인및사업자,7,38.9
5215,2,여자,1,50
5215,1,법인및사업자,1,50
5216,1,남자,2,66.7
5216,2,법인및사업자,1,33.3
5217,1,남자,227,55.5
5217,3,여자,54,13.2
5217,2,법인및사업자,128,31.3
5218,2,남자,5,35.7
5218,3,여자,2,14.3
5218,1,법인및사업자,7,50
5219,3,남자,2,14.3
5219,2,여자,4,28.6
5219,1,법인및사업자,8,57.1
5220,1,남자,22,48.9
5220,3,여자,3,6.7
5220,2,법인및사업자,20,44.4
5221,1,남자,29,56.9
5221,3,여자,5,9.8
5221,2,법인및사업자,17,33.3
5222,1,남자,36,61
5222,2,여자,12,20.3
5222,3,법인및사업자,11,18.6
5225,1,남자,1154,57.6
5225,3,여자,237,11.8
5225,2,법인및사업자,612,30.6
5226,1,남자,193,50.3
5226,2,여자,97,25.3
5226,3,법인및사업자,94,24.5
5229,1,남자,40,55.6
5229,3,여자,12,16.7
5229,2,법인및사업자,20,27.8
5230,1,남자,3,37.5
5230,3,여자,2,25
5230,2,법인및사업자,3,37.5
5231,1,남자,2,100
5232,1,남자,18,47.4
5232,3,여자,8,21.1
5232,2,법인및사업자,12,31.6
5234,1,남자,12,54.5
5234,3,여자,3,13.6
5234,2,법인및사업자,7,31.8
5235,1,남자,29,52.7
5235,3,여자,4,7.3
5235,2,법인및사업자,22,40
5236,1,남자,535,52.2
5236,3,여자,154,15
5236,2,법인및사업자,335,32.7
5237,1,남자,1,100
5238,1,남자,44,50
5238,3,여자,8,9.1
5238,2,법인및사업자,36,40.9
5239,1,여자,1,100
5240,1,남자,103,70.1
5240,3,여자,10,6.8
5240,2,법인및사업자,34,23.1
5244,2,남자,44,36.4
5244,3,여자,22,18.2
5244,1,법인및사업자,55,45.5
5247,2,남자,2,22.2
5247,3,여자,1,11.1
5247,1,법인및사업자,6,66.7
5248,1,남자,2,100
5250,1,남자,16,69.6
5250,3,여자,1,4.3
5250,2,법인및사업자,6,26.1
5251,1,남자,43,56.6
5251,3,여자,14,18.4
5251,2,법인및사업자,19,25
5252,1,남자,3,60
5252,2,법인및사업자,2,40
5253,1,남자,192,52.5
5253,3,여자,47,12.8
5253,2,법인및사업자,127,34.7
5254,1,남자,2,50
5254,2,여자,2,50
5255,1,남자,86,55.5
5255,3,여자,24,15.5
5255,2,법인및사업자,45,29
5257,1,남자,489,56.9
5257,3,여자,126,14.7
5257,2,법인및사업자,244,28.4
5258,1,남자,71,56.3
5258,3,여자,9,7.1
5258,2,법인및사업자,46,36.5
5259,1,남자,1,100
5262,1,남자,5,45.5
5262,3,여자,1,9.1
5262,2,법인및사업자,5,45.5
5267,1,남자,6,46.2
5267,3,여자,2,15.4
5267,2,법인및사업자,5,38.5
5268,1,남자,8,66.7
5268,2,법인및사업자,4,33.3
5269,1,남자,2,100
5270,1,남자,6,66.7
5270,2,법인및사업자,3,33.3
5271,1,남자,3,60
5271,2,법인및사업자,2,40
5272,2,남자,7,33.3
5272,3,여자,4,19
5272,1,법인및사업자,10,47.6
5274,2,남자,180,40
5274,3,여자,45,10
5274,1,법인및사업자,225,50
5275,1,남자,67,59.8
5275,3,여자,16,14.3
5275,2,법인및사업자,29,25.9
5276,1,남자,34,60.7
5276,3,여자,11,19.6
5276,2,법인및사업자,11,19.6
5277,1,남자,22,66.7
5277,3,여자,3,9.1
5277,2,법인및사업자,8,24.2
5278,1,남자,11,73.3
5278,3,여자,1,6.7
5278,2,법인및사업자,3,20
5279,1,남자,37,58.7
5279,3,여자,11,17.5
5279,2,법인및사업자,15,23.8
5280,1,남자,46,52.3
5280,3,여자,16,18.2
